label_name,feature_type,C,tol,train_f1_score,val_f1_score
parties,scaled,0.1,0.001,0.8466007516859406,0.22978763569273855
parties,scaled,0.1,0.01,0.8466007516859406,0.22978763569273855
parties,scaled,0.1,0.1,0.8468057758555559,0.23209947019969496
parties,scaled,0.25,0.0001,0.9321957342783564,0.24535589978447087
parties,scaled,0.25,0.001,0.9321957342783564,0.24535589978447087
parties,scaled,0.25,0.01,0.9321957342783564,0.24626607543148862
parties,scaled,0.25,0.1,0.9315153101438121,0.24351522670374473
parties,scaled,0.5,0.0001,0.9992171598710053,0.2560072994049341
parties,scaled,0.5,0.001,0.9992171598710053,0.2560072994049341
parties,scaled,0.5,0.01,0.9992171598710053,0.25863169650301543
parties,scaled,0.5,0.1,0.999282701363361,0.25992280290268627
parties,scaled,0.75,0.0001,1.0,0.25566306476435247
parties,scaled,0.75,0.001,1.0,0.25566306476435247
parties,scaled,0.75,0.01,1.0,0.25566306476435247
parties,scaled,0.75,0.1,1.0,0.2560937139479466
parties,scaled,1.0,0.0001,1.0,0.2564355627144799
parties,scaled,1.0,0.001,1.0,0.2564355627144799
parties,scaled,1.0,0.01,1.0,0.25545889324156984
parties,scaled,1.0,0.1,1.0,0.2567147050529285
parties,original,0.1,0.0001,0.04222818540593144,0.06806118420615226
parties,original,0.1,0.001,0.04222818540593144,0.06806118420615226
parties,original,0.1,0.01,0.04216357557204833,0.06806118420615226
parties,original,0.1,0.1,0.04256557395174423,0.06716389267519997
parties,original,0.25,0.0001,0.05662359651803226,0.08549615389142237
parties,original,0.25,0.001,0.05662359651803226,0.08549615389142237
parties,original,0.25,0.01,0.056675123738667864,0.08549615389142237
parties,original,0.25,0.1,0.05673185743020448,0.08558720938011387
parties,original,0.5,0.0001,0.06358078139787608,0.09715594028018701
parties,original,0.5,0.001,0.06358078139787608,0.09715594028018701
parties,original,0.5,0.01,0.06365885169546867,0.09715594028018701
parties,original,0.5,0.1,0.06371694989172083,0.0971627617693939
parties,original,0.75,0.0001,0.06772138950728741,0.09970910832204263
parties,original,0.75,0.001,0.06772138950728741,0.09970910832204263
parties,original,0.75,0.01,0.067748869319812,0.09970910832204263
parties,original,0.75,0.1,0.06811739620728269,0.09937936667558306
