label_name,feature_type,kernel,C,tol,train_f1_score,val_f1_score
coalitions,original,rbf,0.25,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.25,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.5,0.0001,0.21998175682642476,0.2049266753269186
coalitions,original,poly,0.5,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.5,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.5,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.5,0.001,0.21998175682642476,0.2049266753269186
coalitions,original,poly,0.5,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.5,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.5,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.5,0.01,0.22014495771062537,0.2049266753269186
coalitions,original,poly,0.5,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.5,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.5,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.5,0.1,0.22047420972740134,0.2034670366855002
coalitions,original,poly,0.5,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.5,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.5,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.75,0.0001,0.23581113366051146,0.21154869143852725
coalitions,original,poly,0.75,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.75,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.75,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.75,0.001,0.23581113366051146,0.21154869143852725
coalitions,original,poly,0.75,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.75,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.75,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.75,0.01,0.23571825814803046,0.21092963460329375
coalitions,original,poly,0.75,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.75,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.75,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,linear,0.75,0.1,0.23592695686125068,0.2101477949595615
coalitions,original,poly,0.75,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,0.75,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,0.75,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,linear,1.0,0.0001,0.2512298750578237,0.21833136038860995
coalitions,original,poly,1.0,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,1.0,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,1.0,0.0001,0.1003400772842036,0.10033538894298386
coalitions,original,linear,1.0,0.001,0.2512298750578237,0.21833136038860995
coalitions,original,poly,1.0,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,1.0,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,1.0,0.001,0.1003400772842036,0.10033538894298386
coalitions,original,linear,1.0,0.01,0.2511514978593835,0.21833136038860995
coalitions,original,poly,1.0,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,1.0,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,1.0,0.01,0.1003400772842036,0.10033538894298386
coalitions,original,linear,1.0,0.1,0.25186817548361,0.21841803146089692
coalitions,original,poly,1.0,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,rbf,1.0,0.1,0.1003400772842036,0.10033538894298386
coalitions,original,sigmoid,1.0,0.1,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.1,0.0001,0.279137270169089,0.23676140257266373
coalitions,minmax,poly,0.1,0.0001,0.3837376718701774,0.2350226121815822
coalitions,minmax,rbf,0.1,0.0001,0.1003400772842036,0.10033538894298386
coalitions,minmax,sigmoid,0.1,0.0001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.1,0.001,0.2783451064039629,0.23676140257266373
coalitions,minmax,poly,0.1,0.001,0.3837376718701774,0.2350226121815822
coalitions,minmax,rbf,0.1,0.001,0.1003400772842036,0.10033538894298386
coalitions,minmax,sigmoid,0.1,0.001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.1,0.01,0.2784093109932927,0.23676140257266373
coalitions,minmax,poly,0.1,0.01,0.3838108168727058,0.23567966578316465
coalitions,minmax,rbf,0.1,0.01,0.1003400772842036,0.10033538894298386
coalitions,minmax,sigmoid,0.1,0.01,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.1,0.1,0.2801434298882793,0.23657329123998946
coalitions,minmax,poly,0.1,0.1,0.38652009754105365,0.235769228178171
coalitions,minmax,rbf,0.1,0.1,0.1003400772842036,0.10033538894298386
coalitions,minmax,sigmoid,0.1,0.1,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.25,0.0001,0.4196433840634928,0.24785559459216241
coalitions,minmax,poly,0.25,0.0001,0.6472345815497313,0.34297810562877634
coalitions,minmax,rbf,0.25,0.0001,0.1091414506167955,0.10720897037519288
coalitions,minmax,sigmoid,0.25,0.0001,0.1003400772842036,0.10033538894298386
coalitions,minmax,linear,0.25,0.001,0.4196433840634928,0.24785559459216241
