label_name,feature_type,distance,n_neighbours,weights,train_f1_score,val_f1_score
coalitions,scaled,chebyshev,40,distance,1.0,0.181896038617986
coalitions,scaled,minkowski,40,distance,1.0,0.18707388055781043
coalitions,scaled,euclidean,50,uniform,0.1990001853759666,0.186165936311188
coalitions,scaled,manhattan,50,uniform,0.1937352505134949,0.18418597422781727
coalitions,scaled,chebyshev,50,uniform,0.18719772208119584,0.1706486321931824
coalitions,scaled,minkowski,50,uniform,0.1990001853759666,0.186165936311188
coalitions,scaled,euclidean,50,distance,1.0,0.1887786163585876
coalitions,scaled,manhattan,50,distance,1.0,0.18570711088094255
coalitions,scaled,chebyshev,50,distance,1.0,0.1743994395896872
coalitions,scaled,minkowski,50,distance,1.0,0.1887786163585876
coalitions,original,euclidean,5,uniform,0.3985452594826727,0.2306427166498966
coalitions,original,manhattan,5,uniform,0.407769610279406,0.21111780751923598
coalitions,original,chebyshev,5,uniform,0.365047380194929,0.20453283408429299
coalitions,original,minkowski,5,uniform,0.3985452594826727,0.2306427166498966
coalitions,original,euclidean,5,distance,1.0,0.24129464284923358
coalitions,original,manhattan,5,distance,1.0,0.22708968408243063
coalitions,original,chebyshev,5,distance,1.0,0.2292245263280496
coalitions,original,minkowski,5,distance,1.0,0.24129464284923358
coalitions,original,euclidean,10,uniform,0.27260330581148473,0.1989609679641115
coalitions,original,manhattan,10,uniform,0.27442713664840623,0.20362479725762977
coalitions,original,chebyshev,10,uniform,0.25872061823543013,0.19028229210427852
coalitions,original,minkowski,10,uniform,0.27260330581148473,0.1989609679641115
coalitions,original,euclidean,10,distance,1.0,0.21582853977995767
coalitions,original,manhattan,10,distance,1.0,0.21477466194991646
coalitions,original,chebyshev,10,distance,1.0,0.20656662644182214
coalitions,original,minkowski,10,distance,1.0,0.21582853977995767
coalitions,original,euclidean,20,uniform,0.2056432618532012,0.17488536913257494
coalitions,original,manhattan,20,uniform,0.20079242110575776,0.17138222988540314
coalitions,original,chebyshev,20,uniform,0.22000563657355654,0.18607155458227337
coalitions,original,minkowski,20,uniform,0.2056432618532012,0.17488536913257494
coalitions,original,euclidean,20,distance,1.0,0.18281012664264015
coalitions,original,manhattan,20,distance,1.0,0.17615916624830313
coalitions,original,chebyshev,20,distance,1.0,0.19676724981284538
coalitions,original,minkowski,20,distance,1.0,0.18281012664264015
coalitions,original,euclidean,30,uniform,0.19648530914588308,0.17650034082048052
coalitions,original,manhattan,30,uniform,0.19510766160560505,0.1731815420550639
coalitions,original,chebyshev,30,uniform,0.19795850336555892,0.17337454800163246
coalitions,original,minkowski,30,uniform,0.19648530914588308,0.17650034082048052
coalitions,original,euclidean,30,distance,1.0,0.17714514399552767
coalitions,original,manhattan,30,distance,1.0,0.17528094238420597
coalitions,original,chebyshev,30,distance,1.0,0.1749189693470136
coalitions,original,minkowski,30,distance,1.0,0.17714514399552767
coalitions,original,euclidean,40,uniform,0.18660431153384302,0.16828973609175818
coalitions,original,manhattan,40,uniform,0.1883808227778036,0.17172887760174724
coalitions,original,chebyshev,40,uniform,0.19123836345796374,0.17325697960946113
coalitions,original,minkowski,40,uniform,0.18660431153384302,0.16828973609175818
coalitions,original,euclidean,40,distance,1.0,0.17445332444131603
coalitions,original,manhattan,40,distance,1.0,0.17778249664366927
coalitions,original,chebyshev,40,distance,1.0,0.17045777873711424
coalitions,original,minkowski,40,distance,1.0,0.17445332444131603
coalitions,original,euclidean,50,uniform,0.1827155946725752,0.16644532211582858
coalitions,original,manhattan,50,uniform,0.1848602682533455,0.16965764068187028
coalitions,original,chebyshev,50,uniform,0.18640868959186424,0.1694064448766756
coalitions,original,minkowski,50,uniform,0.1827155946725752,0.16644532211582858
coalitions,original,euclidean,50,distance,1.0,0.16504034654561084
